,original,recon,transfer
1,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she sang her <unk> this is the first time you should go\n', 'i never thought that you could be the one to call my heart\n', 'oh these days our eyes make the door look like they are not <unk>\n', 'and I am a man of so I am i come in its way\n', 'and I am a man of so I am i come in its way\n', 'my word of your soul is a fool I am not to find em\n', 'then I am willing to wait for it for it up for it\n', 'baby I am baby I am tired but i do not want to play\n', 'and i swear by the moon and the moon in the world to the world\n', 'and I am a man of so I am i come in its way\n', 'but i can not help it that i can not take my eyes to take you\n']","['if she sang her <unk> this is the first time you should go\n', 'i never thought that you could be the one to your first alone\n', 'oh these days our kids make the best then not like they are <unk>\n', 'and I am a man of so I am i come in for this moment\n', 'and I am a man of so I am i come in for this moment\n', 'my word of your soul is a fool I have known to get em\n', 'then I am willing to wait for it for it for me for it\n', 'baby I am baby I am proud but i do not want to play\n', 'and i swear by the car and the car in the world of the world\n', 'and I am a man of so I am i come in for this moment\n', 'but i can not stop it that i can not take my chance to your money\n']"
2,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first time she should go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the light look like you are not <unk>\n', 'and I am a man of niggaz so she should do them in the way\n', 'and I am a man of niggaz so she should do them in the way\n', 'every morning of your skin is a double wine I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am falling and i do not want to play\n', 'and i swear by the moon and the stars in the way ill be there\n', 'and I am a man of niggaz so she should do them in the way\n', 'but i can not help it that i can not take my eyes on to you\n']","['if she hide her mind this is the first time they should\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the light come so you did are <unk>\n', 'and I am a man of I so well i do not in the way\n', 'and I am a man of I so well i do not in the way\n', 'every scale of your skin is a ac chronic I have got to find\n', 'then I am willing to wait for it wait for it for it\n', 'baby I am baby I am actin and i do not want to play about\n', 'and i swear by the moon and the stars in the way to be you\n', 'and I am a man of I so well i do not in the way\n', 'but i can not help it that i can not take you some out to you\n']"
3,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of flicks so why should be move in this way\n', 'and I am a man of flicks so why should be move in this way\n', 'every morning of your skin is a thick wine I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play them\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of flicks so why should be move in this way\n', 'but i can not help it that i can not take me your eyes get to\n']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of heartache so why we would stand in this way\n', 'and I am a man of heartache so why we would stand in this way\n', 'every scale of your skin is a thick epitome we have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play about\n', 'and i swear by the moon and the stars in the sky ill be you\n', 'and I am a man of heartache so why we would stand in this way\n', 'but i can not help it that i can not take my eyes off of you\n']"
4,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of wack so why we would take in my way\n', 'and I am a man of wack so why we would take in my way\n', 'every inch of your skin is a holy mans if i got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play her\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of wack so why we would take in my way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of I so why should i stand in her way\n', 'and I am a man of I so why should i stand in her way\n', 'every inch of your skin is a accurate tool if i got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play her\n', 'and i swear by the moon and the stars in the better ill be there\n', 'and I am a man of I so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off to no\n']"
5,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of juice so why should not hold in her way\n', 'and I am a man of juice so why should not hold in her way\n', 'every inch of your skin is a holy mans I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play\n', 'and i swear by the moon and the stars in the sky ill be you\n', 'and I am a man of juice so why should not hold in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of I so why should would stand in her way\n', 'and I am a man of I so why should would stand in her way\n', 'every inch of your skin is a battered sonic if have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt as i do not want to play\n', 'and i swear by the moon and the stars in the sky ill be you\n', 'and I am a man of I so why should would stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']"
6,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of wack so why i should take in any way\n', 'and I am a man of wack so why i should take in any way\n', 'every inch of your skin is a holy format I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play alone\n', 'and i swear by the moon and the stars in the sky ill be you\n', 'and I am a man of wack so why i should take in any way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of truths so why we would stand in her way\n', 'and I am a man of truths so why we would stand in her way\n', 'every inch of your skin is a holy sonic if have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play them\n', 'and i swear by the moon and the stars in the sky ill be you\n', 'and I am a man of truths so why we would stand in her way\n', 'but i can not help it that i can not take my eyes off to you\n']"
7,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of juice so why should would stand in her way\n', 'and I am a man of juice so why should would stand in her way\n', 'every inch of your skin is a holy format if have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of juice so why should would stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of cali so why should would get in her way\n', 'and I am a man of cali so why should would get in her way\n', 'every inch of your skin is a sayin sonic if have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of cali so why should would get in her way\n', 'but i can not help it that i can not take my eyes off of you\n']"
8,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of cali so why should i stand in her way\n', 'and I am a man of cali so why should i stand in her way\n', 'every inch of your skin is a holy general I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play alone\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of cali so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off to you\n']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of cali so why should i stand in her way\n', 'and I am a man of cali so why should i stand in her way\n', 'every inch of your skin is a holy general I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of cali so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off to you\n']"
9,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of juice so why should i stand in her way\n', 'and I am a man of juice so why should i stand in her way\n', 'every inch of your skin is a holy lil I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of juice so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off to you\n']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of heartache so why should i stand in her way\n', 'and I am a man of heartache so why should i stand in her way\n', 'every inch of your skin is a sayin fiend if have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of heartache so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off to you\n']"
10,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of cali so why should i stand in her way\n', 'and I am a man of cali so why should i stand in her way\n', 'every inch of your skin is a holy format should have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of cali so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off for you\n']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of gyal so why should i stand in her way\n', 'and I am a man of gyal so why should i stand in her way\n', 'every inch of your skin is a sip fiend if have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play her\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of gyal so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off to you\n']"
