,epoch_s,id,original,reconstruct,transfer,blue,transfer_acc,domain_acc,geo_mean,epoch
0,1,0,if she changes her mind this is the first place she will go,"if she took her love she is the last what she could survive
","if she took her love she is the best she made she clothes
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
1,1,1,i never thought that you would be the one to hold my heart,"i never thought that you would be all your love to my girl
","i never thought that you would be all the same to my place
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
2,1,2,oh her eyes her eyes make the stars look like they are not shinin,"oh my love took me make the feeling like the heart are not <unk>
","oh my money no show into the mic but its like they are <unk>
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
3,1,3,and I am a man of expanding so why should i stand in her way,"and I am a man of niggaz so who can say my foot in you
","and I am a man of I am so i do her in love of
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
4,1,4,and I am a man of expanding so why should i stand in her way,"and I am a man of niggaz so who can say my foot in you
","and I am a man of I am so i do her in love of
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
5,1,5,every inch of your skin is a holy gray I have got to find,"every hearts of your mirror is a big mans I have got to be yours
","every foot of your car is a big dog got to have to look it
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
6,1,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for me but it for
","then I am willing to wait for it just if it for me for
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
7,1,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am cool and i do not want to talk home
","baby I am baby I am creepin and i do not want to kill home
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
8,1,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the moon in the morning i be yours
","and i swear by the car and the name in the closet we be plannin
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
9,1,9,and I am a man of expanding so why should i stand in her way,"and I am a man of niggaz so who can say my foot in you
","and I am a man of I am so i do her in love of
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
10,1,10,but i can not help it that i can not take my eyes off of you,"but i can not give me that i can not take my eyes on all time
","but i can not give it that i can not take my money at all time
",0.15638214285714283,0.5675071428571429,0.9987821428571427,0.2789559051270286,1
0,2,0,if she changes her mind this is the first place she will go,"if she found her mind this is the whole place she could go
","if she were her mind this is the first place she had go
",0.5133321428571429,0.5432035714285715,0.9980928571428572,0.5256543190303175,2
1,2,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold the ending
",0.5133321428571429,0.5432035714285715,0.9980928571428572,0.5256543190303175,2
2,2,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes take the stars like I is or are <unk>
","oh her eyes her eyes take the book like I is can being <unk>
",0.5133321428571429,0.5432035714285715,0.9980928571428572,0.5256543190303175,2
3,2,3,and I am a man of expanding so why should i stand in her way,"and I am a man of niggaz so so i should hijack in a things
","and I am a man of yours so so i should count in her eyes
",0.5133321428571429,0.5432035714285715,0.9980928571428572,0.5256543190303175,2
