,epoch,id,original,reconstruct,transfer
0,1,0,if she changes her mind this is the first place she will go,"if she gets her mind it is the first thing i want us
","if she gets her mind what this is the shit i want him
"
1,1,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to your mind off
","i never thought that you would be the one to get my heart
"
2,1,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes let your door like we do you are <unk>
","while her your hand your let you play up to you are not <unk>
"
3,1,3,and I am a man of expanding so why should i stand in her way,"and I am a man of them so i knew we die in her way
","and I am a man of them so i can remember myself in her way
"
4,1,4,and I am a man of expanding so why should i stand in her way,"and I am a man of them so i knew we die in her way
","and I am a man of them so i can remember myself in her way
"
5,1,5,every inch of your skin is a holy gray I have got to find,"every half of your soul is a little lover I have got to find
","every half of your brothers is a ac I am never seen to find
"
6,1,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it for it too
","then I am willing to wait for it wait for it for it for
"
7,1,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am sorry and i do not want to play us
","baby I am baby I am proud and i do not want to play em
"
8,1,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be you
","and i swear by the moon and the stars in the mornin ill be you
"
9,1,9,and I am a man of expanding so why should i stand in her way,"and I am a man of them so i knew we die in her way
","and I am a man of them so i can remember myself in her way
"
10,1,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my head of all you
","but i can not help it that i can not get my ass on the other
"
0,2,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she caught her mind this is the first place she will go
"
1,2,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to get my heart
"
2,2,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,2,3,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i should stand in her way
","and I am a man of unanswered so why i should stand in her way
"
4,2,4,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i should stand in her way
","and I am a man of unanswered so why i should stand in her way
"
5,2,5,every inch of your skin is a holy gray I have got to find,"every hundred of your coffee is a thick king I have got to find
","every slick of your skin is a def mc I have got to find
"
6,2,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it back it for
"
7,2,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am it and i do not want to play em
","baby I am baby I am it and i do not want to play em
"
8,2,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the jungle ill be there
"
9,2,9,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i should stand in her way
","and I am a man of unanswered so why i should stand in her way
"
10,2,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my breath on my scenes
","but i can not help it that i can not take my eyes on the other
"
0,3,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she walks her mind this is the first place she will go
"
1,3,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,3,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars like but they are not <unk>
","oh her eyes her eyes make the stars like where they not not <unk>
"
3,3,3,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i should stand in her way
","and I am a man of sweeter so why i must show in her way
"
4,3,4,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i should stand in her way
","and I am a man of sweeter so why i must show in her way
"
5,3,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a thick verses I have got to find
","every slick of your skin is a def mc I have got to find
"
6,3,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,3,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am time and i do not want to play me
","baby I am baby I am hurt and i do not want to play me
"
8,3,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill be there
"
9,3,9,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i should stand in her way
","and I am a man of sweeter so why i must show in her way
"
10,3,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes on my fool
","but i can not help it that i can not take my kids on the weekend
"
0,4,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,4,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,4,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look in they are not <unk>
"
3,4,3,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i want it in her way
","and I am a man of luxury so why we want it in her way
"
4,4,4,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i want it in her way
","and I am a man of luxury so why we want it in her way
"
5,4,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy name I have got to find
","every inch of your skin is a <unk> mc I have got to find
"
6,4,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,4,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play
","baby I am baby I am hurt and i do not want to play
"
8,4,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars of the sky ill be there
","and i swear by the moon and the stars of the sky ill be there
"
9,4,9,and I am a man of expanding so why should i stand in her way,"and I am a man of spandex so why i want it in her way
","and I am a man of luxury so why we want it in her way
"
10,4,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my kids out of you
"
0,5,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,5,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
